IP,Time,URL,Status,istatus,RT,Method,URL1
10.159.242.8,20-04-2021 06:43,/api/v1/ping?zip=02466&lead_type_id=1&exclusive=0&insco=Other&email=&inhouse_lead=0&tier1=0&tier2=0&partner_id=12202&source_id=43818939731&filters%5Binsured%5D=1&filters%5Bno_majors%5D=1&filters%5Bhomeowner%5D=1&filters%5Bno_claims%5D=1&filters%5Bno_preexisting_health%5D=1&filters%5Bno_preexisting_life%5D=1&filters%5Bhealth_applicant_age%5D=57&filters%5Blife_applicant_age%5D=57&filters%5Bauto_lead_driver_age%5D=57&filters%5Bauto_driver_age_min_max%5D=57&filters%5Bauto_continuous_insurance%5D=0&filters%5Bauto_lead_credit_rating%5D=3&filters%5Bmultiple_vehicles%5D=0&filters%5Bfinal_expense%5D=1&filters%5Bmobile_home%5D=Single%20Family&filters%5Bsf_agency_auto%5D=0&filters%5Bsf_agency_home%5D=0,200,241,0.084,GET ,/api/v1/ping
10.187.76.239,20-04-2021 06:43,/api/v1/clicks/listings?zip=07029&click_type_id=1&device_type=mobile&filters=%7B%3Ahome_owner%3D%3E%22No%22%2C%20%3Agender%3D%3E%22Male%22%2C%20%3Amarried%3D%3E%22No%22%2C%20%3Aage%3D%3E%2225-34%22%2C%20%3Acurrently_insured%3D%3E%22Yes%22%2C%20%3Alicense_status%3D%3E%22Active%22%2C%20%3Ayears_licensed%3D%3E%22Unknown%22%2C%20%3Aeducation%3D%3E%22Associate%20Degree%22%2C%20%3Avehicle_count%3D%3E%22Single%22%2C%20%3Anumber_of_drivers%3D%3E%22Multiple%22%2C%20%3Aincidents%3D%3E%22No%22%2C%20%3Anumber_of_major_incidents%3D%3E%22None%22%2C%20%3Anumber_of_minor_incidents%3D%3E%22None%22%2C%20%3Anumber_of_dui%3D%3E%22None%22%2C%20%3Alicense_suspension%3D%3E%22No%22%2C%20%3Asr_22%3D%3E%22No%22%2C%20%3Acontinuous_insurance%3D%3E%221-2%20years%22%2C%20%3Acredit_rating%3D%3E%22Good%22%2C%20%3Arequested_coverage%3D%3E%22Unknown%22%2C%20%3Asource_type%3D%3E%22Native%2FDisplay%2FSocial%202%22%7D&pingpost=true&user_id=7729,200,14,0.048,GET ,/api/v1/clicks/listings
10.153.142.176,20-04-2021 06:43,/api/v1/clicks/listings?zip=07029&click_type_id=1&device_type=mobile&filters=%7B%3Ahome_owner%3D%3E%22No%22%2C%20%3Agender%3D%3E%22Male%22%2C%20%3Amarried%3D%3E%22No%22%2C%20%3Aage%3D%3E%2225-34%22%2C%20%3Acurrently_insured%3D%3E%22Yes%22%2C%20%3Alicense_status%3D%3E%22Active%22%2C%20%3Ayears_licensed%3D%3E%22Unknown%22%2C%20%3Aeducation%3D%3E%22Associate%20Degree%22%2C%20%3Avehicle_count%3D%3E%22Single%22%2C%20%3Anumber_of_drivers%3D%3E%22Multiple%22%2C%20%3Aincidents%3D%3E%22No%22%2C%20%3Anumber_of_major_incidents%3D%3E%22None%22%2C%20%3Anumber_of_minor_incidents%3D%3E%22None%22%2C%20%3Anumber_of_dui%3D%3E%22None%22%2C%20%3Alicense_suspension%3D%3E%22No%22%2C%20%3Asr_22%3D%3E%22No%22%2C%20%3Acontinuous_insurance%3D%3E%221-2%20years%22%2C%20%3Acredit_rating%3D%3E%22Good%22%2C%20%3Arequested_coverage%3D%3E%22Unknown%22%2C%20%3Asource_type%3D%3E%22Native%2FDisplay%2FSocial%202%22%7D&pingpost=true&user_id=11135,200,14,0.048,GET ,/api/v1/clicks/listings
10.187.76.239,20-04-2021 06:43,/api/v1/lead_validation?phone=2132781886&scrub=1&turbo=1&email=anthonygambino6969%40gmail.com&verify_email=1&token=qwertyuiopasdfghjklzxcvbnm123456,200,712,0.05,GET ,/api/v1/lead_validation
10.159.242.8,20-04-2021 06:43,/api/v1/ping?zip=07029&lead_type_id=1&exclusive=1&insco=Progressive%20Insurance&email=Peesari.akshayreddy%40icloud.com&inhouse_lead=1&tier1=1&tier2=0&partner_id=12019&source_id=1515&filters%5Binsured%5D=1&filters%5Bno_majors%5D=1&filters%5Bhomeowner%5D=0&filters%5Bno_claims%5D=1&filters%5Bno_preexisting_health%5D=1&filters%5Bno_preexisting_life%5D=1&filters%5Bhealth_applicant_age%5D=29&filters%5Blife_applicant_age%5D=29&filters%5Bauto_lead_driver_age%5D=29&filters%5Bauto_driver_age_min_max%5D=29&filters%5Bauto_continuous_insurance%5D=0&filters%5Bauto_lead_credit_rating%5D=3&filters%5Bmultiple_vehicles%5D=0&filters%5Bfinal_expense%5D=1&filters%5Bmobile_home%5D=Single%20Family&filters%5Bsf_agency_auto%5D=0&filters%5Bsf_agency_home%5D=0&post_partner=1,200,76,0.097,GET ,/api/v1/ping
10.153.142.176,20-04-2021 06:43,/api/v1/clicks/listings,200,1869,0.067,POST ,/api/v1/clicks/listings
10.137.160.122,20-04-2021 06:43,/api/lead_dispositions?key=yhQwEoXKZU4y8RntnibxFmoy29UJqArr,200,728,0.052,GET ,/api/lead_dispositions
10.187.76.239,20-04-2021 06:43,/api/v1/clicks/listings,200,1882,0.137,POST ,/api/v1/clicks/listings
10.159.242.8,20-04-2021 06:43,/api/v1/call_campaigns/phone?aid=2268&phone_cid=default&lead_type_id=2,304,0,0.043,GET ,/api/v1/call_campaigns/phone
10.153.142.176,20-04-2021 06:43,/api/v1/ping?zip=77083&lead_type_id=5&exclusive=1&insco=Other&email=&inhouse_lead=0&tier1=0&tier2=0&partner_id=12020&source_id=1004056&filters%5Binsured%5D=1&filters%5Bno_majors%5D=1&filters%5Bhomeowner%5D=1&filters%5Bno_claims%5D=1&filters%5Bno_preexisting_health%5D=1&filters%5Bno_preexisting_life%5D=1&filters%5Bhealth_applicant_age%5D=37&filters%5Blife_applicant_age%5D=37&filters%5Bauto_lead_driver_age%5D=37&filters%5Bauto_driver_age_min_max%5D=37&filters%5Bauto_continuous_insurance%5D=3&filters%5Bauto_lead_credit_rating%5D=3&filters%5Bmultiple_vehicles%5D=0&filters%5Bfinal_expense%5D=0&filters%5Bmobile_home%5D=Single%20Family&filters%5Bsf_agency_auto%5D=0&filters%5Bsf_agency_home%5D=0,200,76,0.105,GET ,/api/v1/ping
